사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
바나타이거 북가좌점,커피숍,"서울특별시 서대문구 증가로24마길 47, 103호 (북가좌동, 에코더블레스)",192780.65920751     ,453393.473399415    
패드 커피(FAD COFFEE),커피숍,"서울특별시 서초구 성촌1길 26, 삼성프라자-1 1층 106호 (우면동)",201812.412993581    ,440355.976588077    
바샤커피 청담점,커피숍,"서울특별시 강남구 압구정로 432, 1층 (청담동)",203826.265014509    ,447157.327182325    
SAMSUNG SDS x PAUL BASSETT,커피숍,"서울특별시 송파구 올림픽로35길 123, 향군타워 지하1층 (신천동)",208883.088818201    ,446048.260013091    
하삼동 커피 전문점,커피숍,"서울특별시 금천구 시흥대로 225, 제이타워 1층 111호 (시흥동)",191119.297222694    ,439071.374368621    
커피박스,커피숍,"서울특별시 강남구 도곡로 112, 1층 (도곡동)",202835.924249933    ,443051.27224413     
메가엠지씨커피 서대문역점,커피숍,"서울특별시 서대문구 통일로 147, 1층 (냉천동)",196828.829637637    ,451670.514152007    
삼성SDS×폴바셋 SAMSUNG SDS×PAUL BASSETT Speed Order,커피숍,"서울특별시 송파구 올림픽로35길 123, 향군타워 지하1층 (신천동)",208883.088818201    ,446048.260013091    
커피소,커피숍,"서울특별시 종로구 종로 154-1, 1층 9호 (종로3가)",199467.888632647    ,451999.860095289    
그라츠 커피랩 반포점,커피숍,"서울특별시 서초구 신반포로 지하 200, G-23호 (반포동, 강남터미널지하쇼핑몰)",200367.588604211    ,444873.437818732    
"카페,사랑하는",커피숍,"서울특별시 서초구 사임당로 102-5, 1층 (서초동)",201808.286683795    ,443101.599671009    
블루포트 중앙대학교301호점,커피숍,"서울특별시 동작구 흑석로 84, 중앙대학교 301관 대극장 로비3층, 중앙대후문쪽 (흑석동)",196122.678608319    ,444705.530165147    
우지커피 아차산역점,커피숍,"서울특별시 광진구 자양로43길 42, 1층 (구의동)",207924.358161816    ,450032.350973235    
티미커피(TiMi coffee),커피숍,"서울특별시 강남구 선릉로130길 20, 1층 106호 (삼성동, 래미안삼성2차아파트)",203770.384197358    ,445992.329114168    
메가엠지씨커피 목동트라팰리스점,커피숍,"서울특별시 양천구 목동서로 246, 1층 (목동)",188398.446481222    ,447066.042718528    
스탠브루 마포역점,커피숍,"서울특별시 마포구 삼개로 16, 근신빌딩 본관 1층 101호 (도화동)",195258.466477275    ,448540.434893446    
삼매경,커피숍,"서울특별시 마포구 성미산로29길 29-9, 1층 (연남동)",193011.868411857    ,451421.718034707    
스윗띵즈,커피숍,"서울특별시 관악구 은천로5길 3, 1층 103호 (봉천동)",194445.103562762    ,442704.996610231    
메가엠지씨커피 신길성애병원점,커피숍,"서울특별시 영등포구 영등포로84길 16, 1층 (신길동)",193006.78920411     ,445512.935963703    
떠기다방 신도림점,커피숍,"서울특별시 구로구 새말로 93, 상가1동 105,106호 (구로동, 신도림태영타운)",190082.929062305    ,444879.272777977    
찬란과일 송파가락점,커피숍,"서울특별시 송파구 동남로3길 17-14, 1층 102호 (가락동)",210623.598691141    ,443178.779483788    
더벤티 보문역점,커피숍,"서울특별시 성북구 보문로 101, 1층 (보문동2가)",201670.550128709    ,453555.049617499    
우지커피 올림픽북문점,커피숍,"서울특별시 강동구 성안로 7, 강림빌딩 1층 103호 (성내동)",211324.022842093    ,446930.379410235    
피앤드위시(a.t.s.r),커피숍,"서울특별시 용산구 한강대로 95, B2층 B206호 (한강로2가, 래미안용산 더 센트럴)",197011.737528847    ,447430.100250997    
매머드 익스프레스 가산더스카이밸리 1차점,커피숍,"서울특별시 금천구 가산디지털1로 142, 가산 더스카이밸리 1차 1층 129호 (가산동)",189603.222916543    ,441801.135064157    
모네의정원,커피숍,"서울특별시 영등포구 선유동1로 50, THE PARK 365 1층 102-1호 (당산동3가)",190487.78435765     ,447142.741732677    
텐퍼센트 서여의도점,커피숍,"서울특별시 영등포구 은행로 29, 정우빌딩 112호 (여의도동)",193026.875747265    ,447427.783375434    
커피사피엔스 양재봉진점,커피숍,"서울특별시 서초구 동산로 66, 봉진빌딩 1층 103호 (양재동)",203997.623430765    ,441078.17661246     
스타벅스 강남르피에드점,커피숍,"서울특별시 서초구 서운로 136, 1층 101호~104호 (서초동)",202155.309826452    ,443719.050092702    
메가엠지씨커피 서울상명대점,커피숍,"서울특별시 종로구 홍지문2길 11, 1층 (홍지동)",195998.140762432    ,455442.479107974    
